UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P39019	RPS19	1.1992444641243245	1.2187822732010405	1.222798576299909	1.199970293641178	1.2289245323398683	1.2546291439264887	1.2176015687386628	1.228269301850823	1.2101608384052014	1.217466150356405	1.200578165240572	1.1902850991088207
Q86WX3	RPS19BP1	0.9713597896729298	0.941697792313406	0.9724799224692318	0.9820112201252595	0.9680233436701282	0.9816419241638767	0.9463642242273784	0.9680721697513452	0.9203409170029372	0.9264338272935588	0.8826913357552634	0.9032183305165008
P15880	RPS2	1.2946098268830677	1.29616814624451	1.2942801592066109	1.2853919416893445	1.294135314077924	1.2954270574099664	1.2807706150626583	1.2890430142067173	1.2869741293537358	1.2678910536746355	1.2736726154627018	1.2685654204425696
P60866	RPS20	1.2690369276601476	1.27599872145125	1.2631036440843737	1.2557435761013225	1.2692765567864548	1.292366517646544	1.276253957903841	1.2833664914952974	1.265449450692674	1.261630134191654	1.254976916968774	1.2402792784093557
P63220	RPS21	1.228792850310869	1.2297834471443088	1.2074816881748691	1.1988082567177745	1.2391230908143378	1.2399617608068152	1.2081440742027951	1.225348562341958	1.216511058040234	1.231196570275881	1.222121005674507	1.1964062802435955
P62266	RPS23	1.257456690482151	1.2580567581244957	1.2480376750916622	1.2397995867292877	1.241213248933644	1.2474161604206622	1.227351481242979	1.2425890040534948	1.231927459689414	1.2290729910557776	1.22348023601826	1.2018647788708965
P62847	RPS24	1.2766049207450765	1.2733462377700238	1.2701734580520407	1.2610456874462994	1.2770263076874422	1.2623830471172135	1.2693578364698912	1.2753279480836168	1.2631946257858508	1.259078316229275	1.249787542469813	1.239022857737319
P62851	RPS25	1.2061090057567336	1.2511317440540783	1.2701734580520407	1.241350529339796	1.2569649390237372	1.3005005228966142	1.2495857065748552	1.279087620422189	1.2346413917927574	1.2348476134369322	1.1866543162613366	1.1821694823381246
P62854	RPS26	1.1713271732800623	1.1538944132937987	1.1755097388286018	1.1915310355537096	1.2008645503798638	1.205765583096356	1.1811695244610525	1.1921797883698175	1.1735235223735587	1.1393427940789242	1.12226395686124	1.1526101941803129
P42677	RPS27	1.1975602237832692	1.2048939812106017	1.2016248921241526	1.174696981209437	1.1874981149942605	1.1939355900143398	1.2184359132962428	1.2238449515297245	1.233296542152326	1.2153783085460468	1.2062702347738403	1.1710963020704588
