UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P48059	LIMS1	840910	913442	1010000	828287	1130000	1100000	585629	690820	589445	829242	748685	694371
Q6ZN17	LIN28B	NA	NA	NA	NA	NA	NA	791181	819219	807177	686515	640225	631523
Q6MZP7	LIN54	71990.2	41696.2	32890.3	51880.8	38609	40545.6	55476	87466.5	39625.1	54653.3	53865	49873.1
Q9NUP9	LIN7C	465655	353642	478768	446389	486416	664646	264322	263633	193099	181005	180028	195393
Q5TKA1	LIN9	NA	NA	384971	278686	233645	301401	462381	372570	591391	286752	391666	745669
Q15334	LLGL1	346504	317009	363169	395179	401184	371549	285334	193405	174739	275603	333559	218978
Q9BRT6	LLPH	NA	NA	NA	NA	NA	NA	897832	1010000	656769	595498	457132	329745
P49257	LMAN1	2180000	1880000	1980000	1570000	2140000	2100000	2850000	2880000	3050000	3650000	3710000	3140000
Q12907	LMAN2	3840000	3620000	4060000	4050000	3650000	3940000	4720000	4880000	4640000	6400000	6680000	5800000
Q9H0V9	LMAN2L	206023	244421	209070	275676	312273	297882	582456	501294	625115	628384	594735	756868
Q9NUN5	LMBRD1	NA	NA	NA	NA	NA	NA	229465	179378	215969	168520	215536	163490
Q68DH5	LMBRD2	77513.9	112915	62606.5	152602	96964.6	106048	123998	135981	148439	133033	120093	175795
Q9BU23	LMF2	NA	NA	NA	NA	NA	NA	148403	153825	168964	211212	220293	227273
P02545	LMNA	2990000	2850000	3110000	2820000	3100000	3060000	11700000	12300000	12300000	17700000	17500000	16500000
P20700	LMNB1	8050000	8460000	7780000	7750000	8270000	8220000	8190000	8620000	8330000	9620000	9150000	8790000
Q03252	LMNB2	2380000	1970000	2180000	2420000	2580000	2300000	4560000	4720000	4410000	4590000	4320000	4490000
P25791	LMO2	57371.7	69638.6	93638.8	NA	67346.5	152436	51572.8	38594.6	66637.2	176077	229982	162541
Q8IWU2	LMTK2	NA	NA	NA	NA	NA	NA	157508	110506	75235.9	102558	100275	91761.3
Q9C0E8	LNP	1120000	1240000	1180000	1470000	1270000	1150000	1030000	1110000	1110000	861469	827448	1020000
Q9UIQ6	LNPEP	1270000	1410000	1230000	1200000	999403	1320000	1070000	1060000	1160000	958885	999924	1090000
Q969J3	LOH12CR1	NA	NA	NA	NA	413065	375435	400763	424022	360906	354254	607287	682047
P36776	LONP1	2060000	2200000	2110000	1830000	2030000	1880000	5610000	5440000	5460000	7620000	8210000	7710000
Q86WA8	LONP2	287077	242430	265985	286924	254090	245057	187737	156517	187132	124514	111047	100775
P08519	LPA	153590	208538	295117	176712	254450	190760	267718	229649	374253	574844	848525	385848
Q8NF37	LPCAT1	380852	323481	327520	306302	326833	270536	210113	195209	229308	216072	193291	245954
Q7L5N7	LPCAT2	NA	NA	NA	NA	NA	NA	385787	348082	392430	312759	288492	379217
Q6P1A2	LPCAT3	NA	NA	NA	NA	NA	NA	390808	364998	368490	238108	293894	547264
Q643R3 ; Q6ZWT7	LPCAT4	148929	125495	105455	116278	103553	117261	138031	124201	NA	112020	125704	83646.6
Q92604	LPGAT1	NA	NA	NA	NA	NA	NA	44578.2	80606.1	54600.6	111276	114019	49153.5
Q14693	LPIN1	NA	132415	72140	164633	NA	155361	244873	200321	237993	58633	94476.5	55240.4
Q93052	LPP	126684	177540	247127	167747	288566	329990	NA	NA	NA	NA	NA	NA
O60711	LPXN	1270000	1260000	1210000	1090000	1260000	1420000	NA	NA	NA	NA	NA	NA
P50851	LRBA	460411	421722	473336	505430	477301	500860	1950000	1890000	1950000	2080000	2110000	2070000
Q9Y2L9	LRCH1	192572	159310	182313	191356	232538	153419	116867	73752	NA	NA	NA	NA
Q96II8	LRCH3	362870	305226	337766	315760	338859	348561	295193	348578	350759	284246	302279	295592
O75427	LRCH4	1210000	720697	901197	884973	940547	737391	573785	537334	541027	584126	559680	454678
Q5T3J3	LRIF1	NA	NA	NA	NA	NA	NA	635772	549456	629053	585048	528047	547565
O94898	LRIG2	NA	NA	NA	NA	NA	NA	82292.9	140237	157898	NA	57432.7	NA
Q12912	LRMP	732914	707303	729883	557936	710407	693297	NA	75942	110989	158255	98518.4	66670.2
Q9Y561	LRP12	192778	175368	176623	222969	196685	220388	NA	76796.7	60504.1	85369.3	67469.5	NA
O75581	LRP6	156149	87680.9	108958	91610.6	NA	121995	33242.7	53300.9	NA	42437.5	87092.7	66435.6
P30533	LRPAP1	NA	145360	168698	NA	183859	351018	139725	142412	137976	100008	137859	54845.3
P42704	LRPPRC	2640000	2930000	2800000	3100000	2840000	2660000	9600000	10000000	9840000	9510000	9370000	9660000
Q9BTT6	LRRC1	45325.9	64242.7	128817	52155.2	68515.6	83899.8	NA	NA	NA	NA	NA	NA
Q15048	LRRC14	NA	58596.6	82550.2	NA	43746.7	92116.1	65129	78066.1	NA	24884.7	40651.9	40438.9
Q8TCA0	LRRC20	665374	618009	465010	572730	586376	476918	122818	153630	155126	188784	174633	202313
Q9H9A6	LRRC40	1480000	1250000	1270000	1390000	1620000	1450000	880363	919978	849440	778690	780998	886770
Q15345	LRRC41	56075.5	NA	119936	103756	174113	97216.4	119286	93336.8	130969	66779.1	69562.8	71381.3
Q8N1G4	LRRC47	1430000	1470000	1340000	1440000	1580000	1460000	2620000	2850000	2720000	2570000	2690000	2480000
Q8N9N7	LRRC57	129399	173427	507711	429013	587205	761109	448980	420962	472568	505538	567094	541973
Q96CX6	LRRC58	272831	298958	295373	258752	292248	336144	NA	NA	42992.4	195625	NA	183495
Q96AG4	LRRC59	12800000	12600000	10800000	11700000	12500000	12000000	15300000	16900000	16000000	15100000	14600000	15300000
Q8IWT6	LRRC8A	113868	103940	38912.8	52933.6	74292.9	81194.9	184480	157553	164914	68531	127121	152164
Q8TDW0	LRRC8C	171662	127785	162854	232107	166287	205261	135318	201653	173381	105002	104952	127364
Q7L1W4	LRRC8D	NA	14627.6	NA	56620.1	NA	23376.8	NA	NA	NA	NA	NA	NA
Q32MZ4	LRRFIP1	201074	358863	292626	290959	411653	571770	375042	436216	421310	292862	231030	236141
Q9Y608	LRRFIP2	292125	170747	252875	295914	257606	363905	362826	460849	402048	470572	430706	376482
Q38SD2	LRRK1	1600000	1640000	1590000	1580000	1440000	1290000	2590000	2400000	2380000	1520000	1650000	2550000
Q6UWE0	LRSAM1	NA	75687.2	NA	NA	181055	NA	333061	306020	260043	518048	465786	469049
Q9UFC0	LRWD1	NA	NA	NA	NA	NA	NA	810457	723089	789907	775873	840558	758407
Q9H089	LSG1	955760	846781	873047	905977	958321	911847	870370	980318	937275	543609	559765	508557
O15116	LSM1	1490000	1100000	841010	1110000	1270000	1180000	1240000	1310000	1510000	1430000	1390000	1570000
P83369	LSM11	126255	152558	121476	117748	132320	117596	32717.2	28942.7	NA	41893.3	39583.6	27561.9
Q3MHD2	LSM12	862122	659661	764313	806803	834688	816144	755495	552285	636835	441469	541265	928285
Q8ND56	LSM14A	1700000	1830000	1850000	1860000	1880000	2030000	1130000	1240000	1300000	1010000	975302	1100000
Q9BX40	LSM14B	388541	460344	424312	484401	539796	402027	391741	620452	730710	446358	532869	638386
Q9Y333	LSM2	2910000	2500000	2480000	2660000	2700000	2660000	4310000	4370000	4560000	3230000	3480000	4290000
P62310	LSM3	1950000	1770000	1930000	2060000	2480000	4040000	4830000	4020000	3090000	4660000	3950000	3600000
Q9Y4Z0	LSM4	368418	379738	498037	378274	482996	818427	671400	706376	586363	879121	853249	826602
P62312	LSM6	1210000	1170000	991211	993531	1260000	1750000	1650000	1340000	1310000	1760000	2050000	2160000
Q9UK45	LSM7	939331	773788	690136	611337	787573	1550000	1420000	1350000	1080000	1160000	1280000	1270000
O95777	LSM8	2320000	2320000	2470000	2280000	2420000	2320000	3730000	4100000	4010000	3460000	3470000	3560000
Q86X29	LSR	NA	NA	NA	NA	NA	NA	594583	668525	596832	534932	388018	431150
P48449	LSS	609987	898090	689867	809902	621721	740288	1360000	1310000	1350000	1750000	1720000	1740000
P09960	LTA4H	4920000	4730000	4560000	4740000	4470000	4300000	1630000	1550000	1600000	1960000	2110000	1930000
Q8N2S1	LTBP4	NA	NA	NA	NA	NA	NA	95481.4	110305	58189.6	184089	208336	230218
P02788	LTF	4580000	5130000	4170000	4810000	4710000	4170000	4090000	4090000	4900000	3710000	4180000	6230000
O94822	LTN1	812346	638046	814464	655346	741042	711667	674450	625993	749616	410739	464185	495116
Q96GA3	LTV1	620649	598370	672185	765226	574561	627338	1260000	1350000	1310000	657752	647223	579540
Q9NQ29	LUC7L	1090000	1160000	1320000	1180000	1350000	1440000	824002	853411	908602	697189	653513	514753
O95232	LUC7L3	2090000	2160000	2240000	2040000	2160000	2230000	2370000	2680000	2620000	2090000	2200000	2680000
Q86V48	LUZP1	NA	NA	NA	NA	NA	NA	351771	374987	420559	245523	259252	283978
Q9HBG7	LY9	247222	330302	264302	197918	243589	364300	NA	NA	NA	NA	NA	NA
Q9NX58	LYAR	2450000	3380000	3490000	3140000	3740000	3250000	1930000	2180000	2020000	1700000	1390000	1100000
P07948	LYN	2850000	2630000	3340000	3310000	3190000	2860000	2160000	1850000	2090000	1850000	2090000	2290000
O75608	LYPLA1	933042	1070000	864747	758459	797154	925827	1950000	2430000	2140000	2550000	3170000	2480000
O95372	LYPLA2	680141	769330	700375	547480	781334	628596	777473	837033	816303	1160000	1260000	935446
Q5VWZ2	LYPLAL1	1010000	270985	395319	267474	334018	241219	693320	712389	769720	1130000	1080000	1060000
Q5U5X0	LYRM7	NA	NA	NA	NA	NA	NA	156795	155812	70901.5	134994	180867	159167
Q8IV50	LYSMD2	NA	NA	NA	NA	NA	NA	218089	234966	185033	126724	115290	162482
Q7Z3D4	LYSMD3	NA	NA	NA	NA	NA	NA	177628	253314	217008	218767	110802	121316
P61626	LYZ	NA	NA	NA	NA	NA	NA	631222	702993	597794	190700	176576	121637
Q8WZA0	LZIC	1000000	794411	877240	894647	781462	905045	1250000	1300000	1180000	1100000	1090000	1310000
Q9NQ48	LZTFL1	404947	385079	314155	420237	446767	415712	320112	316636	347213	428929	421540	441050
Q8N653	LZTR1	NA	82013.3	33847.5	87356.6	65650.1	134400	133564	140365	83785.2	99470.9	86294.7	80133.9
P20645	M6PR	4030000	4640000	4440000	2700000	3400000	3780000	1340000	1210000	1360000	1430000	1600000	1690000
Q6ZN28	MACC1	NA	NA	NA	NA	NA	NA	158056	NA	348108	281469	125313	138107
O94854 ; Q9UPN3	MACF1	374421	384354	345501	394778	326579	351924	1300000	1280000	1330000	867676	870060	868306
Q9BQ69	MACROD1	633427	336724	431964	297130	456352	519826	1550000	1760000	1640000	2140000	2250000	2290000
Q9Y6D9	MAD1L1	710047	767133	961262	910341	956087	791531	701400	813483	747034	896987	768690	680062
Q13257	MAD2L1	2150000	1940000	1950000	1990000	1860000	1850000	1450000	1380000	1690000	697176	1030000	1020000
Q15013	MAD2L1BP	NA	NA	NA	NA	NA	NA	829949	844317	676312	730123	581085	659576
Q9UI95	MAD2L2	NA	NA	27124.7	44259.2	NA	50181.3	62482.3	NA	149372	24208.5	26580.7	NA
